dp_degree,hp_degree,pp_degree,num_microbatches,throughput
1,1,1,1,3725.9179555393866
1,1,2,2,3985.7971836614115
1,1,2,4,4542.716324201109
1,1,2,8,4820.721008762217
1,1,2,16,4843.572497165431
1,1,2,32,4614.520034780173
1,2,1,1,7189.391772456083
2,1,1,1,7480.758101733661
1,1,4,2,5365.482003270898
1,1,4,4,6466.998742401352
1,1,4,8,7728.3203473113745
1,1,4,16,8370.796996618274
1,1,4,32,8342.477928885293
1,2,2,2,7677.698546608693
1,2,2,4,8730.680910242387
1,2,2,8,9256.996393865662
1,2,2,16,9306.25121550463
1,2,2,32,8885.927769651396
1,4,1,1,13432.623850081438
2,1,2,2,7920.922532737013
2,1,2,4,8947.45768118587
2,1,2,8,9327.85522113048
2,1,2,16,9066.54608529222
2,1,2,32,8158.077120218315
2,2,1,1,14719.775419593561
4,1,1,1,14487.991684885004
1,1,8,2,6044.3445735389505
1,1,8,4,9016.3740744645
1,1,8,8,11134.212939349129
1,1,8,16,13218.619408052013
1,1,8,32,14032.262925847794
1,2,4,2,10243.84327821541
1,2,4,4,12288.306351118621
1,2,4,8,14602.623575188682
1,2,4,16,15778.906591833696
1,2,4,32,15746.138168682552
1,4,2,2,14300.908599185812
1,4,2,4,16196.535102356605
1,4,2,8,17146.577677644156
1,4,2,16,17255.543459539465
1,4,2,32,16541.884896850665
1,8,1,1,23740.835708210394
2,1,4,2,10639.342129736227
2,1,4,4,12694.038279526807
2,1,4,8,14914.029880701697
2,1,4,16,15655.002896064268
2,1,4,32,14779.946116154462
2,2,2,2,15582.801337183679
2,2,2,4,17616.077578988057
2,2,2,8,18380.66044930061
2,2,2,16,17886.302203395837
2,2,2,32,16121.423311864688
2,4,1,1,28385.36418528214
4,1,2,2,15008.29474067255
4,1,2,4,16588.5782916072
4,1,2,8,16724.336077774955
4,1,2,16,15404.250496888693
4,2,1,1,28791.48086154887
8,1,1,1,27251.020952596467
1,1,16,2,6421.99415213455
1,1,16,4,10535.130784696448
1,1,16,8,15462.81484360334
1,1,16,16,18784.157080490615
1,1,16,32,21432.53672620121
1,2,8,2,11466.979383547598
1,2,8,4,16869.95448217133
1,2,8,8,20635.386925177754
1,2,8,16,24277.562862630894
1,2,8,32,25701.893290472137
1,4,4,2,18782.466288666874
1,4,4,4,22345.543838799786
1,4,4,8,26299.071398099346
1,4,4,16,28302.767120153032
1,4,4,32,28305.79834886332
1,8,2,2,25147.895860714772
1,8,2,4,28294.06671230084
1,8,2,8,29879.454061060584
1,8,2,16,30119.33920062498
1,8,2,32,29061.184361332525
1,16,1,1,38521.59516927127
2,1,8,2,11972.54128393037
2,1,8,4,17673.889707086262
2,1,8,8,21427.11620568719
2,1,8,16,24701.41920307578
2,1,8,32,24949.451691107755
2,2,4,2,20894.520623800752
2,2,4,4,24957.428296432154
2,2,4,8,29355.087531256737
2,2,4,16,30856.61347625499
2,2,4,32,29184.549431511503
2,4,2,2,30104.223536720678
2,4,2,4,34071.99915388367
2,4,2,8,35604.23880128381
2,4,2,16,34725.61545266781
2,4,2,32,31410.1312763742
2,8,1,1,53323.820780816524
4,1,4,2,19801.490812098185
4,1,4,4,22960.29411847873
4,1,4,8,25916.710054116433
4,1,4,16,25781.231482617583
4,2,2,2,29694.906941447574
4,2,2,4,32873.426462497584
4,2,2,8,33185.289912224056
4,2,2,16,30604.2022816486
4,4,1,1,55313.02392496291
8,1,2,2,27158.58325769633
8,1,2,4,28950.37512370123
8,1,2,8,27710.987579880337
8,1,2,16,23681.009881682592
8,2,1,1,55154.65848659023
16,1,1,1,48703.34702492232
